
ESC
1
2
3
4
5
6
7
8
9
0
-
=
bs
	
Q
W
E
R
T
Y
U
I
O
P
[
]
Enter
CTRL
A
S
D
F
G
H
J
K
L
;
'
`
LShift
\
Z
X
C
V
B
N
M
,
.
/
RShift
PrtSc
Alt
 
Caps
F1
F2
F3
F4
F5
F6
F7
F8
F9
F10
Num
Scroll
Home (7)
Up (8)
PgUp (9)
-
Left (4)
Center (5)
Right (6)
+
End (1)
Down (2)
PgDn (3)
Ins
Del
